scenario,request_type,run,mean,median,std,min,max,p90,p95,p99
Medium,Relinquishment,1,22102.84,15998.0,12497.58778480023,3949.0,46013.0,40275.900000000016,42041.1,46002.11
Medium,Relinquishment,2,18901.47,14014.0,10553.979316984345,1994.0,44085.0,36183.000000000015,39985.55,44002.83
Medium,Relinquishment,3,17459.04,13995.0,10422.070778473688,1997.0,45996.0,35981.8,41989.45,44023.92000000001
Medium,Relinquishment,4,19144.93,14074.5,10141.98834056227,3946.0,43972.0,36238.000000000015,39979.05,43960.12
Medium,Relinquishment,5,17458.11,14047.0,8447.772327117256,3963.0,40002.0,31974.5,36061.7,38076.45000000001
Medium,Revoke,1,16294.9,12064.5,8851.590046626388,3990.0,39992.0,32002.8,36003.85,38040.710000000014
Medium,Revoke,2,17554.93,13994.5,9230.41667997494,1994.0,41982.0,31996.6,37986.65,40047.54000000001
Medium,Revoke,3,18335.8,14085.5,9726.951583672611,3986.0,43916.0,35997.0,38190.799999999996,43899.17
Medium,Revoke,4,18542.32,14018.5,10754.493490629859,1906.0,44064.0,36160.60000000002,39982.75,42055.29000000001
Medium,Revoke,5,18935.89,14012.0,10360.432094743826,5902.0,46029.0,36202.000000000015,39961.1,43997.52000000001
High,Authorize,1,58883.48,63950.0,14468.05550802314,1852.0,66081.0,64068.1,65974.15,66057.0
High,Authorize,2,58048.09333333333,63945.0,16066.829298198549,2056.0,66201.0,65993.0,66037.05,66092.02
High,Authorize,3,57838.85,62090.0,16066.078018576853,2050.0,67942.0,65953.0,66001.05,66095.03
High,Authorize,4,58930.3,63961.5,14933.765259573578,2159.0,68318.0,65986.0,66005.0,66215.03
High,Authorize,5,58313.111666666664,62039.0,15065.766979712946,313.0,67951.0,65971.1,66008.05,66093.04
High,Deregistration,1,58111.708333333336,63967.5,16191.849862813608,2001.0,67949.0,65944.3,66010.15,66064.06
High,Deregistration,2,58884.306666666664,63964.0,14889.632238001284,5923.0,67983.0,65996.0,66033.05,66080.0
High,Deregistration,3,58205.04833333333,62037.0,15232.444482666806,3987.0,66086.0,65938.0,65988.2,66026.07
High,Deregistration,4,57594.66,63930.5,16721.683234493008,2001.0,66084.0,65978.1,66001.0,66046.01
High,Deregistration,5,57524.07666666667,62091.0,16723.121506235293,2000.0,66097.0,65997.1,66024.15,66082.05
High,Grant,1,58452.35166666667,63963.0,15614.741533989158,1999.0,66089.0,65953.3,66009.05,66059.06
High,Grant,2,57717.92,63924.5,16238.573939427186,5915.0,66088.0,65964.0,66015.3,66072.01
High,Grant,3,58491.683333333334,62058.5,15105.049402947945,3990.0,66102.0,65984.1,65997.0,66034.12
High,Grant,4,57821.253333333334,63931.0,16317.015225082729,5981.0,66095.0,65957.7,65988.05,66018.11
High,Grant,5,57446.65,62047.5,16600.993948484815,3995.0,66100.0,65986.2,66003.0,66052.0
High,Registration,1,57403.11666666667,63973.0,17349.14324383813,3988.0,66109.0,65990.4,66033.0,66064.01
High,Registration,2,57186.63166666667,63944.5,17263.51021995589,3991.0,66098.0,66002.0,66037.15,66067.04
High,Registration,3,57899.09166666667,62058.0,16067.598465462806,3973.0,66086.0,65988.0,66009.05,66043.03
High,Registration,4,57707.41166666667,63903.5,16317.98561157483,3981.0,66081.0,65955.5,65994.1,66026.09
High,Registration,5,57526.66333333333,62047.5,16456.725829835843,1902.0,66099.0,65988.1,66015.05,66061.03
High,Relinquishment,1,57822.59,63940.5,16028.144680584097,2005.0,66068.0,64061.0,65958.0,66036.0
High,Relinquishment,2,58201.72833333333,63936.0,15809.922360539103,5902.0,66096.0,65985.2,66034.0,66078.03
High,Relinquishment,3,57598.94666666666,62076.5,16377.681473106823,5981.0,66077.0,65956.1,65987.05,66016.06
High,Relinquishment,4,58714.13166666667,63955.0,14864.331122652993,5985.0,70086.0,65949.4,65994.0,66075.04
High,Relinquishment,5,58799.50666666667,63957.5,14856.176456999001,5983.0,68055.0,65993.0,66012.0,66092.01
High,Revoke,1,57905.61833333333,63916.0,15838.24963640993,2019.0,66107.0,64087.0,66003.0,66053.01
High,Revoke,2,57218.823333333334,63938.5,17025.076545430034,4092.0,66095.0,65970.1,66013.1,66085.01
High,Revoke,3,57862.13,62999.5,16079.78744397779,1996.0,66104.0,65984.1,65999.0,66056.02
High,Revoke,4,57979.83666666667,63922.0,15953.436186819872,1996.0,68089.0,65953.1,65997.1,66047.08
High,Revoke,5,57943.323333333334,62106.5,15927.619878703043,1997.0,66100.0,65989.2,66010.1,66082.02
Stress,Authorize,1,98559.00133333333,99996.0,8564.156384707097,2053.0,100107.0,100048.0,100068.05,100095.01
Stress,Authorize,2,98600.168,99998.0,8428.824992782127,202.0,100114.0,100059.0,100077.05,100097.0
Stress,Authorize,3,98640.60133333334,99994.0,8411.705071062184,1947.0,100103.0,100060.0,100078.0,100093.0
Stress,Authorize,4,98595.814,99996.0,8477.03854466459,2053.0,100109.0,100058.0,100074.0,100093.0
Stress,Authorize,5,98641.674,99996.0,8452.878760790338,2053.0,100116.0,100051.0,100073.0,100088.0
Stress,Deregistration,1,99239.088,99996.0,5029.520832590281,15957.0,100103.0,100052.0,100069.0,100094.01
Stress,Deregistration,2,99234.564,100000.0,5055.568272008528,12012.0,100110.0,100063.0,100078.0,100097.0
Stress,Deregistration,3,99195.372,99992.0,5508.02814447326,7996.0,100109.0,100051.1,100078.0,100094.0
Stress,Deregistration,4,99243.434,99995.0,4998.823268098983,15981.0,100116.0,100052.0,100066.0,100093.01
Stress,Deregistration,5,99195.39666666667,99994.0,5509.645680592598,7996.0,100101.0,100056.0,100076.0,100092.0
Stress,Grant,1,99197.94533333334,99996.0,7267.751017766711,7983.0,100102.0,100046.0,100062.05,100084.01
Stress,Grant,2,99176.0,99990.0,7208.613535907815,4099.0,100117.0,100040.0,100054.0,100077.01
Stress,Grant,3,99166.49933333334,99992.5,7254.088068241297,7978.0,100097.0,100040.0,100055.05,100079.0
Stress,Grant,4,99200.98333333334,99992.0,7160.043373317936,7990.0,100116.0,100047.0,100062.0,100086.01
Stress,Grant,5,99170.618,99998.0,7227.62186374464,7997.0,100100.0,100054.0,100067.0,100084.01
Stress,Registration,1,99164.48133333333,100010.0,7829.409433094698,3981.0,100102.0,100060.0,100070.05,100088.0
Stress,Registration,2,99123.854,100008.0,8100.20357460132,1900.0,100101.0,100060.0,100075.0,100091.01
Stress,Registration,3,99175.99066666666,100007.0,7805.3219345252255,3986.0,100106.0,100061.1,100074.0,100090.0
Stress,Registration,4,99167.98666666666,100008.0,7814.662035791737,3992.0,100131.0,100061.0,100073.05,100090.0
Stress,Registration,5,99111.85733333333,100006.0,8176.62612394787,3984.0,100101.0,100056.1,100067.0,100086.0
Stress,Relinquishment,1,99206.13733333333,99987.0,6009.010552358166,7925.0,100101.0,100038.1,100062.05,100091.01
Stress,Relinquishment,2,99224.952,99992.0,6071.149197591475,7846.0,100101.0,100056.0,100072.0,100093.0
Stress,Relinquishment,3,99230.81266666666,99993.0,5963.16707854509,7985.0,100103.0,100041.0,100058.05,100088.01
Stress,Relinquishment,4,99231.81666666667,99991.0,5949.197060570376,7993.0,100108.0,100045.0,100062.1,100088.0
Stress,Relinquishment,5,99230.612,99988.0,6019.081188716451,7998.0,100099.0,100041.0,100055.0,100078.0
Stress,Revoke,1,99174.604,99997.0,5098.333882956804,8014.0,100102.0,100058.1,100076.0,100095.0
Stress,Revoke,2,99133.94733333333,99993.0,5061.545953842046,8005.0,100102.0,100050.0,100069.05,100091.0
Stress,Revoke,3,99209.18066666667,100000.0,4585.653184237802,15965.0,100116.0,100052.0,100069.0,100092.0
Stress,Revoke,4,99181.55733333333,100000.0,5054.386081067006,7986.0,100123.0,100058.0,100075.0,100094.0
Stress,Revoke,5,99161.958,99995.5,4790.12536700141,16000.0,100113.0,100058.1,100076.05,100095.0
