scenario,request_type,run,count,mean,p50,p90,p99,std
sas_full_flow_medium,Deregistration,1,100,15061.93,13987.0,23990.7,36061.82000000002,6643.6537733160785
sas_full_flow_medium,Deregistration,2,100,18844.46,14071.5,35949.4,39994.4,9405.107210704646
sas_full_flow_medium,Deregistration,3,100,17322.7,14005.0,32213.700000000015,42106.16000000001,8967.056225062623
sas_full_flow_medium,Deregistration,4,100,16658.68,13990.0,31944.1,39998.85,8429.021254612368
sas_full_flow_medium,Deregistration,5,100,17480.0,13988.0,34428.20000000003,42061.30000000002,9988.901926486702
sas_full_flow_medium,Grant,1,100,15112.35,13943.0,28155.900000000016,37994.91,7316.175965287501
sas_full_flow_medium,Grant,2,100,16257.66,13981.5,33984.2,43955.32,9774.476705846268
sas_full_flow_medium,Grant,3,100,18696.33,14042.0,35992.3,41940.57,10155.448247725075
sas_full_flow_medium,Grant,4,100,18474.6,14029.5,37977.9,42007.40000000001,10254.97406780305
sas_full_flow_medium,Grant,5,100,16778.74,13983.5,34184.000000000015,40004.54,9445.793346877708
sas_full_flow_medium,Registration,1,100,16400.32,14003.5,28017.0,36013.19000000001,7457.698446490571
sas_full_flow_medium,Registration,2,100,19060.9,14021.5,35954.200000000004,41975.19,10038.868626644653
sas_full_flow_medium,Registration,3,100,15678.2,13994.0,29971.1,41967.54000000001,8355.446617734937
sas_full_flow_medium,Registration,4,100,16250.51,13989.5,28164.600000000017,39970.48,8171.705643322642
sas_full_flow_medium,Registration,5,100,19619.85,14080.0,36207.900000000016,42062.15,10437.68951210037
sas_full_flow_medium,Relinquishment,1,100,22102.84,15998.0,40275.900000000016,46002.11,12497.58778480023
sas_full_flow_medium,Relinquishment,2,100,18901.47,14014.0,36183.000000000015,44002.83,10553.979316984347
sas_full_flow_medium,Relinquishment,3,100,17459.04,13995.0,35981.8,44023.92000000001,10422.070778473691
sas_full_flow_medium,Relinquishment,4,100,19144.93,14074.5,36238.000000000015,43960.12,10141.988340562273
sas_full_flow_medium,Relinquishment,5,100,17458.11,14047.0,31974.5,38076.45000000001,8447.772327117258
sas_full_flow_medium,Revoke,1,100,16294.9,12064.5,32002.8,38040.710000000014,8851.590046626388
sas_full_flow_medium,Revoke,2,100,17554.93,13994.5,31996.6,40047.54000000001,9230.41667997494
sas_full_flow_medium,Revoke,3,100,18335.8,14085.5,35997.0,43899.17,9726.95158367261
sas_full_flow_medium,Revoke,4,100,18542.32,14018.5,36160.60000000002,42055.29000000001,10754.493490629857
sas_full_flow_medium,Revoke,5,100,18935.89,14012.0,36202.000000000015,43997.52000000001,10360.432094743823
sas_full_flow_stress,Authorize,1,1500,98559.00133333333,99996.0,100048.0,100095.01,8564.156384707114
sas_full_flow_stress,Authorize,2,1500,98600.168,99998.0,100059.0,100097.0,8428.824992782109
sas_full_flow_stress,Authorize,3,1500,98640.60133333334,99994.0,100060.0,100093.0,8411.705071062202
sas_full_flow_stress,Authorize,4,1500,98595.814,99996.0,100058.0,100093.0,8477.03854466462
sas_full_flow_stress,Authorize,5,1500,98641.674,99996.0,100051.0,100088.0,8452.878760790345
sas_full_flow_stress,Deregistration,1,1500,99239.088,99996.0,100052.0,100094.01,5029.520832590279
sas_full_flow_stress,Deregistration,2,1500,99234.564,100000.0,100063.0,100097.0,5055.568272008542
sas_full_flow_stress,Deregistration,3,1500,99195.372,99992.0,100051.1,100094.0,5508.028144473256
sas_full_flow_stress,Deregistration,4,1500,99243.434,99995.0,100052.0,100093.01,4998.8232680989795
sas_full_flow_stress,Deregistration,5,1500,99195.39666666667,99994.0,100056.0,100092.0,5509.645680592595
sas_full_flow_stress,Grant,1,1500,99197.94533333334,99996.0,100046.0,100084.01,7267.75101776673
sas_full_flow_stress,Grant,2,1500,99176.0,99990.0,100040.0,100077.01,7208.613535907822
sas_full_flow_stress,Grant,3,1500,99166.49933333334,99992.5,100040.0,100079.0,7254.088068241282
sas_full_flow_stress,Grant,4,1500,99200.98333333334,99992.0,100047.0,100086.01,7160.0433733179325
sas_full_flow_stress,Grant,5,1500,99170.618,99998.0,100054.0,100084.01,7227.621863744653
sas_full_flow_stress,Registration,1,1500,99164.48133333333,100010.0,100060.0,100088.0,7829.409433094716
sas_full_flow_stress,Registration,2,1500,99123.854,100008.0,100060.0,100091.01,8100.203574601318
sas_full_flow_stress,Registration,3,1500,99175.99066666666,100007.0,100061.1,100090.0,7805.321934525241
sas_full_flow_stress,Registration,4,1500,99167.98666666666,100008.0,100061.0,100090.0,7814.662035791724
sas_full_flow_stress,Registration,5,1500,99111.85733333333,100006.0,100056.1,100086.0,8176.626123947881
sas_full_flow_stress,Relinquishment,1,1500,99206.13733333333,99987.0,100038.1,100091.01,6009.010552358174
sas_full_flow_stress,Relinquishment,2,1500,99224.952,99992.0,100056.0,100093.0,6071.149197591463
sas_full_flow_stress,Relinquishment,3,1500,99230.81266666666,99993.0,100041.0,100088.01,5963.167078545106
sas_full_flow_stress,Relinquishment,4,1500,99231.81666666667,99991.0,100045.0,100088.0,5949.197060570375
sas_full_flow_stress,Relinquishment,5,1500,99230.612,99988.0,100041.0,100078.0,6019.0811887164455
sas_full_flow_stress,Revoke,1,1500,99174.604,99997.0,100058.1,100095.0,5098.333882956795
sas_full_flow_stress,Revoke,2,1500,99133.94733333333,99993.0,100050.0,100091.0,5061.545953842051
sas_full_flow_stress,Revoke,3,1500,99209.18066666667,100000.0,100052.0,100092.0,4585.653184237819
sas_full_flow_stress,Revoke,4,1500,99181.55733333333,100000.0,100058.0,100094.0,5054.3860810669985
sas_full_flow_stress,Revoke,5,1500,99161.958,99995.5,100058.1,100095.0,4790.125367001409
