scenario,request_type,run,p95,p99,p999,max,count
Stress,Authorize,3,100078.0,100093.0,100101.501,100103.0,1500
Stress,Authorize,4,100074.0,100093.0,100103.501,100109.0,1500
Stress,Authorize,5,100073.0,100088.0,100104.004,100116.0,1500
Stress,Deregistration,1,100069.0,100094.01,100101.0,100103.0,1500
Stress,Deregistration,2,100078.0,100097.0,100105.004,100110.0,1500
Stress,Deregistration,3,100078.0,100094.0,100106.0,100109.0,1500
Stress,Deregistration,4,100066.0,100093.01,100110.501,100116.0,1500
Stress,Deregistration,5,100076.0,100092.0,100101.0,100101.0,1500
Stress,Grant,1,100062.05,100084.01,100097.00200000001,100102.0,1500
Stress,Grant,2,100054.0,100077.01,100100.00200000001,100117.0,1500
Stress,Grant,3,100055.05,100079.0,100095.0,100097.0,1500
Stress,Grant,4,100062.0,100086.01,100101.004,100116.0,1500
Stress,Grant,5,100067.0,100084.01,100097.501,100100.0,1500
Stress,Registration,1,100070.05,100088.0,100099.503,100102.0,1500
Stress,Registration,2,100075.0,100091.01,100099.501,100101.0,1500
Stress,Registration,3,100074.0,100090.0,100104.004,100106.0,1500
Stress,Registration,4,100073.05,100090.0,100105.004,100131.0,1500
Stress,Registration,5,100067.0,100086.0,100099.00200000001,100101.0,1500
Stress,Relinquishment,1,100062.05,100091.01,100099.00200000001,100101.0,1500
Stress,Relinquishment,2,100072.0,100093.0,100100.501,100101.0,1500
Stress,Relinquishment,3,100058.05,100088.01,100099.501,100103.0,1500
Stress,Relinquishment,4,100062.1,100088.0,100104.501,100108.0,1500
Stress,Relinquishment,5,100055.0,100078.0,100097.004,100099.0,1500
Stress,Revoke,1,100076.0,100095.0,100101.0,100102.0,1500
Stress,Revoke,2,100069.05,100091.0,100099.501,100102.0,1500
Stress,Revoke,3,100069.0,100092.0,100103.505,100116.0,1500
Stress,Revoke,4,100075.0,100094.0,100105.00200000001,100123.0,1500
Stress,Revoke,5,100076.05,100095.0,100103.503,100113.0,1500
