scenario,request_type,run,error_rate_mean,error_rate_std,error_rate_min,error_rate_max
Stress,Registration,1,0.0,0.0,False,False
Stress,Registration,2,0.0,0.0,False,False
Stress,Registration,3,0.0,0.0,False,False
Stress,Registration,4,0.0,0.0,False,False
Stress,Registration,5,0.0,0.0,False,False
Stress,Relinquishment,1,0.0006666666666666666,0.02581988897471612,False,True
Stress,Relinquishment,2,0.0013333333333333333,0.03650265540281316,False,True
Stress,Relinquishment,3,0.0006666666666666666,0.02581988897471612,False,True
Stress,Relinquishment,4,0.0006666666666666666,0.02581988897471612,False,True
Stress,Relinquishment,5,0.0013333333333333333,0.03650265540281317,False,True
Stress,Revoke,1,0.0006666666666666666,0.02581988897471612,False,True
Stress,Revoke,2,0.0006666666666666666,0.02581988897471612,False,True
Stress,Revoke,3,0.0,0.0,False,False
Stress,Revoke,4,0.0006666666666666666,0.02581988897471612,False,True
Stress,Revoke,5,0.0,0.0,False,False
